title,amenities,bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,time
Two BR Apartment in Norristown. Pet OK!,"AC,Cable or Satellite,Dishwasher,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator",1.0,2.0,No,Yes,"Cats,Dogs",1275.0,1150,Norristown,PA,40.15198979191808,-75.3222144672057,RentDigs.com,1544226978
This is a gorgeous remodel ready for someone to move right in!,TV,1.0,1.0,No,Yes,,1650.0,882,Tempe,AZ,33.45622342094221,-111.96005741503,RentDigs.com,1550821969
One BA - convenient location.,,1.0,1.0,No,Yes,,1000.0,400,North Hampton,NH,42.979377856837225,-70.84180132592918,RentDigs.com,1568774480
Two BR Apartment - Located on the footsteps of the magnificent Rocky,"Fireplace,Gym",2.0,2.0,No,Thumbnail,,1433.0,1000,Denver,CO,39.715428943196514,-105.1024991527007,RentDigs.com,1568753393
Prominence Apartments One BR Luxury Apartment Homes. Single Car Garage!,"Gym,Parking,Pool",1.0,1.0,No,Yes,,3450.0,819,Jersey City,NJ,40.73346657597655,-74.08325420747371,RentDigs.com,1568780021
"Las Vegas - 2bd/Two BA 1,106sqft Apartment for rent",,2.0,2.0,No,Thumbnail,,1520.0,1106,Las Vegas,NV,36.13673259473204,-115.186177805861,RentDigs.com,1568753805
This Apartment is a must see!,"Clubhouse,Fireplace,Parking,Pool,Storage",2.0,2.0,No,Yes,"Cats,Dogs",1193.0,965,Huntersville,NC,35.44748056976026,-80.81907544756892,RentDigs.com,1544288920
"conveniently located in Seat Pleasant, Maryland. Pet OK!","Dishwasher,Parking,Patio/Deck,Pool,Refrigerator,Wood Floors",1.0,2.0,No,Yes,"Cats,Dogs",1340.0,774,Capitol Heights,MD,38.87146117297167,-76.92315037614979,RentDigs.com,1568752552
Two BR Apartment - With its proximity to Cherry Creek. Single Car Garage!,"Gym,Parking,Pool",2.0,2.0,No,Thumbnail,,1175.0,980,Denver,CO,39.70420904310654,-104.88478780285436,RentDigs.com,1568749491
411 N. Parker Street,"Internet Access,Parking,Refrigerator",1.0,1.0,No,Thumbnail,,750.0,620,Warsaw,IN,41.2336504997033,-85.88214891557283,ListedBuy,1576618175
"Santa Clara, Great Location, One BR Apartment.","AC,Clubhouse,Dishwasher,Fireplace,Gym,Internet Access,Patio/Deck,Pool",1.0,1.0,No,Yes,,2390.0,725,Santa Clara,CA,37.33354602723798,-121.98154924721835,RentDigs.com,1544282556
Recently Renovated Nice Single with One BA upstairs unit,Refrigerator,1.0,,No,Yes,,1650.0,500,Los Angeles,CA,34.05580020588348,-118.23688609033664,RentDigs.com,1568750254
"Chevy Chase, One BR, One BA for rent. Single Car Garage!","Parking,Pool,Storage,View,Wood Floors",1.0,1.0,No,Yes,,2597.0,750,Chevy Chase,MD,38.96832980650158,-77.07654256669034,RentDigs.com,1568759869
The Best of the Best in the City of Chicago! Save Big!,"Patio/Deck,Pool",2.0,2.0,No,Yes,,3571.0,600,Chicago,IL,41.85737509342136,-87.66747328160939,RentDigs.com,1544238996
This Apartment is a must see. Pet OK!,"Dishwasher,Parking,Patio/Deck,Refrigerator,Washer Dryer",1.0,1.0,No,Yes,"Cats,Dogs",780.0,645,Mandan,ND,46.812786766661965,-100.9293468092104,RentDigs.com,1550845116
"Two BR, Two BA, safe neighborhood. Washer/Dryer Hookups!","Parking,Washer Dryer",2.0,2.0,No,Thumbnail,,965.0,1264,Mebane,NC,36.101046241380686,-79.3015689600517,RentDigs.com,1568750851
Arvada - superb Apartment nearby fine dining,Pool,1.0,1.0,No,No,"Cats,Dogs",1434.0,744,Arvada,CO,39.83113992675649,-105.13755265857226,RentDigs.com,1550836855
"Great Central Location Two BR, Two BA","Gated,Gym,Pool,View",2.0,2.0,No,Yes,,995.0,1093,Las Vegas,NV,36.18896618537569,-115.0602193379812,RentDigs.com,1568749052
"Great Central Location One BR, One BA",,1.0,1.0,No,Thumbnail,,1275.0,700,Denver,CO,39.84738057809562,-104.98604537667045,RentDigs.com,1568748087
One BR Apartment in Quiet Building - Gaithersburg. Single Car Garage!,"Gym,Parking,Playground,Pool,Storage,TV,Tennis,Washer Dryer",1.0,1.0,No,Yes,,1849.0,748,Gaithersburg,MD,39.090499811546415,-77.2269862793234,RentDigs.com,1568766037
Pet Friendly 1+1 Apartment in Los Angeles,"Gym,Parking,Pool,Storage",1.0,1.0,No,Yes,,2325.0,835,Los Angeles,CA,33.99980572891656,-118.17997956356425,RentDigs.com,1544210325
"Amazing Two BR, Two BA for rent","Clubhouse,Gym,Patio/Deck,Pool,Refrigerator,Washer Dryer",2.0,2.0,No,No,,1949.0,1184,Farmers Branch,TX,32.88876558598144,-96.90867673641316,RentDigs.com,1568756861
This rental is a North Bergen apartment.,,1.0,1.0,No,Yes,,2235.0,850,North Bergen,NJ,40.824217795274414,-74.03410419849182,RentDigs.com,1568749774
"Great Central Location One BR, One BA. Washer/Dryer Hookups!","Parking,Patio/Deck,Washer Dryer",1.0,1.0,No,No,,1565.0,758,Coppell,TX,32.960912496545504,-96.99021819197948,RentDigs.com,1550827129
1 BR In Fresno County,"Gated,Parking,Playground,Pool",1.0,1.0,No,Thumbnail,,965.0,651,Fresno,CA,36.7566505932546,-119.76190054773366,RealRentals,1568839734
Two Spacious BR in Loveland. Pet OK!,"Basketball,Pool",2.0,2.0,No,Yes,"Cats,Dogs",1283.0,1016,Loveland,OH,39.28439569742193,-84.30345892695762,RentDigs.com,1568764922
Convenient In-town Location. Covered parking!,"Fireplace,Gym,Parking,Pool,Tennis",2.0,3.0,No,Thumbnail,,1805.0,1219,Atlanta,GA,33.84013240500023,-84.4492116855522,RentDigs.com,1550831715
"Attractive One BR, One BA","Parking,View",1.0,1.0,No,Thumbnail,,695.0,700,Waynesboro,VA,38.07989712175792,-78.87312438189653,RentDigs.com,1550857536
This Apartment is a must see!,"Parking,Patio/Deck",2.0,2.0,No,Thumbnail,,1534.0,1327,Wadsworth,OH,41.0586739745923,-81.71430105200766,RentDigs.com,1568757146
Two BR Apartment - set among the shade trees.,"AC,Parking,Patio/Deck,Storage,Washer Dryer",1.5,2.0,No,Thumbnail,"Cats,Dogs",1175.0,1100,Virginia Beach,VA,36.84353082431851,-76.06057622685756,RentDigs.com,1568749875
Apartment in prime location. Pet OK!,"Basketball,Clubhouse,Dishwasher,Gym,Patio/Deck,Playground,Pool,Storage,Tennis,Washer Dryer",1.0,1.0,No,Yes,"Cats,Dogs",995.0,810,Asheville,NC,35.545406349108816,-82.51660125444909,RentDigs.com,1550836605
Apartment - convenient location. Pet OK!,"Fireplace,Patio/Deck",3.0,5.0,No,Yes,"Cats,Dogs",2175.0,2234,Beaumont,CA,33.992536620942566,-117.0091298550222,RentDigs.com,1550833789
Two BR - Introducing an exciting new Park Apartment Homes.,,2.0,2.0,No,Yes,,1142.0,1047,Arlington,TX,32.66414592155181,-97.08425250175534,RentDigs.com,1568774029
Studio - Situated in one of the city s most vibrant up and coming neighborhoods.,"Elevator,Parking,Patio/Deck,Pool,Storage,Washer Dryer",1.0,2.0,No,Yes,"Cats,Dogs",1075.0,553,Raleigh,NC,35.77470087445167,-78.65247198757825,RentDigs.com,1568768180
Super Cute! Apartment for Rent!,"Parking,Storage",2.0,2.0,No,Thumbnail,,1534.0,1193,Yorktown,VA,37.10424697212625,-76.44851111513758,RentDigs.com,1550854768
"Great Central Location Two BR, Two BA",,2.0,2.0,No,Thumbnail,,3040.0,1377,Dedham,MA,42.22445637235979,-71.15679772806445,RentDigs.com,1550862563
Manchester - superb Apartment nearby fine dining,"AC,Clubhouse,Playground,Refrigerator,Tennis",1.0,1.0,No,Yes,,1155.0,690,Manchester,CT,41.80790752361722,-72.52010482233284,RentDigs.com,1568777539
Charleston Value!,"Gym,Patio/Deck,Pool,Storage,Washer Dryer",1.5,2.0,No,Yes,"Cats,Dogs",1099.0,1097,Charleston,SC,32.75819417995408,-80.03179270829901,RentDigs.com,1544240833
Convenient location One BR One BA for rent,"Gym,Pool,Storage",1.0,1.0,No,Yes,,709.0,653,College Station,TX,30.596844096381883,-96.3272296260361,RentDigs.com,1544248851
Prominence Apartments Two BR Luxury Apartment Homes. Parking Available!,"Parking,Playground,Pool",1.5,2.0,No,Yes,,880.0,1014,Charlotte,NC,35.25083283630924,-80.72799998115133,RentDigs.com,1544193660
"Reno, Two BR, Two BA for rent","AC,Dishwasher,Patio/Deck,Pool",2.0,2.0,No,Yes,"Cats,Dogs",1568.0,960,Reno,NV,39.53774766067148,-119.7816201246489,RentDigs.com,1568756460
"$1,410/mo - 693 sq. ft. - Apartment - come and see this one. Pet OK!","Gym,Patio/Deck",1.0,1.0,No,Yes,"Cats,Dogs",1410.0,693,Fairfax,VA,38.88232834472419,-77.41517870627975,RentDigs.com,1550831048
"Attractive Two BR, Two BA","Basketball,Parking,Playground",2.0,2.0,No,No,,935.0,1177,Las Vegas,NV,36.15088737631597,-115.1889293762906,RentDigs.com,1550856611
"Dallas, Great Location, One BR Apartment. $741/mo","Gym,Parking,Pool",1.0,1.0,No,Thumbnail,,741.0,525,Dallas,TX,33.01192670653119,-96.79295348610928,RentDigs.com,1568764853
Apartment for rent in Bowling Green.,"Patio/Deck,Storage,Washer Dryer",1.0,1.0,No,Yes,,655.0,822,Bowling Green,KY,37.0012880710418,-86.49484386065376,RentDigs.com,1550846835
"Move-in condition, Two BR Two BA","Clubhouse,Fireplace,Gym,Patio/Deck,Washer Dryer",2.0,2.0,No,Thumbnail,,1689.0,1186,Sterling,VA,39.035261907595455,-77.4190738066627,RentDigs.com,1550822698
Three BR - Welcome Home to Spring Lake Apartments in the heart of the,"Cable or Satellite,Clubhouse,Fireplace,Gym,Internet Access,Patio/Deck,Playground,Pool,Storage,Washer Dryer",2.0,3.0,No,No,"Cats,Dogs",1235.0,1300,Norcross,GA,33.925160423924986,-84.20399342661881,RentDigs.com,1568780368
"Midlothian, One BR, One BA for rent",,1.0,1.0,No,Thumbnail,,1129.0,756,Midlothian,VA,37.475612945235866,-77.63334917625977,RentDigs.com,1550827055
"One BR Apartment - Discover the perfect balance of work, life.","Gym,Pool,Washer Dryer",1.0,1.0,No,Yes,,1360.0,693,Salt Lake City,UT,40.67022133693933,-111.90926005530414,RentDigs.com,1544289822
The Best of the Best in the City of Bothell! Save Big. Pet OK!,Storage,1.0,1.0,No,Yes,"Cats,Dogs",1675.0,811,Bothell,WA,47.88278304128131,-122.21426094039823,RentDigs.com,1568769895
Two BR Apartment in Suburban Acres. Parking Available!,"Parking,Pool,Storage",1.0,2.0,No,Thumbnail,,949.0,850,Norfolk,VA,36.94888493088271,-76.26858510505376,RentDigs.com,1568754154
Studio apartment. with Hardwood Floor & Fireplace,"AC,Fireplace,Parking,Refrigerator,Wood Floors",1.0,1.0,No,No,,1750.0,400,Pasadena,CA,34.16447654147869,-118.14213383427756,RentDigs.com,1568780440
"Three BR, Two BA, safe neighborhood",,2.0,3.0,No,Yes,,2940.0,1392,Denver,CO,39.613971478125954,-104.8626180488922,RentDigs.com,1568755522
1x1 in Rincon Valley - Spacious and Bright,"Parking,Pool,Refrigerator,Storage",1.0,1.0,No,Thumbnail,"Cats,Dogs",1795.0,600,Santa Rosa,CA,38.443306499218025,-122.60389285849882,RentDigs.com,1550817048
"Lincoln, Great Location, One BR Apartment.",Refrigerator,1.0,1.0,No,Yes,,1065.0,1038,Lincoln,NE,40.87462788889585,-96.7357072385947,RentDigs.com,1550846381
"Stafford, prime location Three BR, Apartment",Parking,3.5,3.0,No,Yes,,2150.0,2862,Stafford,VA,38.43077531908244,-77.38278013074844,RentDigs.com,1550855012
The Best of the Best in the City of Columbus! Save Big!,"Parking,Playground,Pool,Storage",1.0,2.0,No,Yes,,1215.0,1157,Columbus,OH,40.10767916303685,-82.97803355054626,RentDigs.com,1550853591
One BR Apartment - Located in the Museum District. Single Car Garage!,"Parking,Pool",1.0,1.0,No,No,,2125.0,835,Denver,CO,39.70126976923754,-104.98407873524737,RentDigs.com,1550860608
Three BR Apartment in Quiet Building - Jamestown,"Gym,Pool,Washer Dryer",2.0,3.0,No,Thumbnail,,1399.0,1340,Jamestown,NC,36.0249252231357,-79.92730653276423,RentDigs.com,1568749749
Prominence Apartments One BR Luxury Apartment Homes,"AC,Clubhouse,Elevator,Fireplace,Gym,Hot Tub,Parking,Pool",1.0,1.0,No,Yes,"Cats,Dogs",1320.0,800,Denver,CO,39.683369699310056,-104.87144885916446,RentDigs.com,1568755733
"Lease Spacious 2+2. Approx 1,076 sf of Living Space!","Fireplace,Parking,Patio/Deck,Pool",2.0,2.0,No,Yes,,3175.0,1076,Arlington,VA,38.9180438015725,-77.04335893246108,RentDigs.com,1550844927
"Two BR, Two BA, safe neighborhood. Parking Available!",Parking,2.0,2.0,No,Thumbnail,,1075.0,968,Greensboro,NC,36.015607399450744,-79.7359347801621,RentDigs.com,1568752484
"Your Life, Perfectly Positioned.",Parking,1.0,1.0,No,Yes,,1440.0,616,Maitland,FL,28.6410100416837,-81.31993979376273,RentDigs.com,1544202929
"luxurious Apartments are located in the heart of Waltham, MA.","Clubhouse,Gym,Pool",1.0,1.0,No,Yes,,2072.0,853,Waltham,MA,42.37156493429531,-71.2621514121191,RentDigs.com,1568761464
Two BR 2350 E Water Street,"Garbage Disposal,Parking,Pool,Refrigerator,View",1.0,2.0,No,Thumbnail,"Cats,Dogs",875.0,867,Tucson,AZ,32.236388145562174,-110.91975881934744,RentLingo,1577358744
Two BR Apartment in Quiet Building - Petersburg. Dog OK!,"AC,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Washer Dryer",2.0,2.0,No,Yes,"Cats,Dogs",1229.0,1154,Petersburg,VA,37.114736341467925,-77.40669895852878,RentDigs.com,1568762877
Apartment in move in condition in West Fargo. 2 Car Garage!,"AC,Cable or Satellite,Dishwasher,Elevator,Gated,Parking,Patio/Deck,Refrigerator,Washer Dryer",1.0,1.0,No,Thumbnail,"Cats,Dogs",815.0,870,West Fargo,ND,46.87180535984394,-96.924659811753,RentDigs.com,1550838026
Apartment in great location. Pet OK!,"Parking,Pool",2.0,2.0,No,No,"Cats,Dogs",1745.0,1135,Mansfield,TX,32.449030493840745,-96.98193448747811,RentDigs.com,1568782617
"Apartment in quiet area, spacious with big kitchen","AC,Cable or Satellite,Dishwasher,Gym,Playground,Pool,Refrigerator,Storage,Tennis,Washer Dryer",1.0,1.0,No,Thumbnail,"Cats,Dogs",1290.0,648,Eatontown,NJ,40.34083957934267,-74.08792665224486,RentDigs.com,1568766444
"Over 1,272 sf in Dayton","AC,Playground,Storage",1.5,3.0,No,Yes,"Cats,Dogs",750.0,1272,Dayton,OH,39.83485566845259,-84.27384254231417,RentDigs.com,1568774193
One BR 6835 W. Mequon Rd.,"Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Hot Tub,Parking,Patio/Deck,Pool,Refrigerator,Storage",1.0,1.0,No,Thumbnail,"Cats,Dogs",1500.0,882,Mequon,WI,43.2106438430564,-87.98905170968054,RentLingo,1577015681
"Tyler, Great Location, One BR Apartment. Pet OK!","Patio/Deck,Pool",1.0,1.0,No,Thumbnail,"Cats,Dogs",577.0,510,Tyler,TX,32.28226611912929,-95.29365245398373,RentDigs.com,1568770104
The Colony Luxurious 2 + 2. Pet OK!,,2.0,2.0,No,Thumbnail,"Cats,Dogs",1499.0,1171,The Colony,TX,33.08183586914579,-96.86050568108573,RentDigs.com,1550841923
Outstanding Opportunity To Live At The Durham City Club. Pet OK!,,1.0,1.0,No,No,"Cats,Dogs",1340.0,667,Durham,NC,36.03366982358496,-78.90121972088671,RentDigs.com,1568775202
Two BR - More than just apartments for rent in VA.,"Cable or Satellite,Internet Access,Parking",2.0,2.0,No,Thumbnail,"Cats,Dogs",1634.0,828,Richmond,VA,37.54372997364371,-77.46537527330774,RentDigs.com,1550828347
Kimball Towers is a smoke free community. Pet OK!,"AC,Fireplace,Parking,Storage,Washer Dryer,Wood Floors",2.0,2.0,No,Yes,"Cats,Dogs",2489.0,1091,Burlington,MA,42.52959060530032,-71.20116623791112,RentDigs.com,1550850993
2 BR 1 BA In Auburn WA 98002,Patio/Deck,1.0,2.0,No,Thumbnail,,1285.0,750,Auburn,WA,47.27358151186767,-122.2342418821417,ListedBuy,1562422506
Convenient location One BR One BA for rent,"Fireplace,Gym,Playground,Pool,Washer Dryer",1.0,1.0,No,Thumbnail,"Cats,Dogs",1098.0,660,Mckinney,TX,33.21490011564647,-96.56412042581378,RentDigs.com,1550848223
"Studio, One BA, safe neighborhood",,1.0,2.0,No,Yes,"Cats,Dogs",1170.0,430,Cincinnati,OH,39.128912439864514,-84.51407348511292,RentDigs.com,1568765116
Everything your heart desires is within reach. Parking Available!,"AC,Dishwasher,Gym,Parking,Wood Floors",1.0,1.0,No,Yes,,1825.0,850,Chatham,NJ,40.71074180622542,-74.42431561804665,RentDigs.com,1568770725
"San Antonio, Great Location, One BR Apartment.","Clubhouse,Gated,Pool",1.0,1.0,No,Yes,,1043.0,734,San Antonio,TX,29.500202855590132,-98.65631608533668,RentDigs.com,1544267706
Three BR Apartment - 24-Hour Fitness Center.,"Gym,Patio/Deck,Pool",2.0,3.0,No,Yes,,1406.0,1340,Roanoke,VA,37.32242668908747,-79.97036569182406,RentDigs.com,1568764460
Two BR - Chestnut Apartments is located in. Parking Available!,Parking,1.0,2.0,No,Thumbnail,,1695.0,720,Long Beach,CA,33.76072406698842,-118.217682820085,RentDigs.com,1568777343
"Move-in condition, Two BR Two BA. Parking Available!","Cable or Satellite,Clubhouse,Gym,Parking,Playground,Pool",2.0,2.0,No,Yes,,1210.0,1056,Dallas,TX,32.894694251417825,-96.68172924072144,RentDigs.com,1568759497
One BR Apartment - Feel the cool waters of the swimming pool on a warm sunny,"AC,Clubhouse,Gym,Patio/Deck,Pool,Tennis",1.0,1.0,No,Yes,,1245.0,696,Naperville,IL,41.77270788601243,-88.13584735489898,RentDigs.com,1544224386
Builtmore section apartment for rent,Wood Floors,1.0,1.0,No,Yes,,1325.0,510,Miami,FL,25.73144781922232,-80.30082805561685,RentDigs.com,1544244691
Apartment in move in condition in Suitland,"Patio/Deck,Playground,Pool",1.0,1.0,No,Yes,,1135.0,730,Suitland,MD,38.84667377542962,-76.93820660009725,RentDigs.com,1568753928
This recently updated apartment is in an ideal location.,"Parking,Pool,Storage",2.0,2.0,No,Yes,,1950.0,1000,Pasadena,CA,34.14260657372948,-118.17008402781843,RentDigs.com,1568779961
"Apartment only for $1,865/mo. You Can Stop Looking Now!","AC,Cable or Satellite,Gated,Internet Access,Parking,Refrigerator,Wood Floors",1.0,2.0,No,Thumbnail,"Cats,Dogs",1865.0,770,Los Angeles,CA,34.02773591592149,-118.29549076598154,RentDigs.com,1550862447
Two BR Apartment in Somersworth. Parking Available!,"AC,Basketball,Cable or Satellite,Parking",1.0,2.0,No,Yes,,1410.0,915,Somersworth,NH,43.23417925296272,-70.88398726795184,RentDigs.com,1568774702
"Gorgeous Newport News City, Two BR, Two BA",,2.0,2.0,No,Yes,,1235.0,1068,Newport News,VA,37.13056325776791,-76.55272076842681,RentDigs.com,1568757499
"Charming Two BR, One BA. Pet OK!","AC,Dishwasher,Gym,Internet Access,Playground,Refrigerator",1.0,2.0,No,No,"Cats,Dogs",1050.0,770,Columbia,TN,35.60393862519762,-87.05498991313122,RentDigs.com,1550820903
Bellevue - 2bd/One BA 950sqft Apartment for rent,"Cable or Satellite,Clubhouse,Fireplace,Gym,Internet Access,Patio/Deck,Playground,Pool,Refrigerator,Washer Dryer",1.0,2.0,No,Yes,"Cats,Dogs",1988.0,950,Bellevue,WA,47.57737585668791,-122.10270862217185,RentDigs.com,1568768310
"Spacious Two BR, Two BA",Parking,2.0,2.0,No,Thumbnail,,2020.0,1040,Fairfax,VA,38.89636977688501,-77.42688168570345,RentDigs.com,1550830942
"Move-in condition, Three BR Two BA","Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Patio/Deck,Refrigerator,Storage,Washer Dryer",2.0,3.0,No,Yes,"Cats,Dogs",1219.0,1286,Euless,TX,32.801770131786434,-97.09875832570268,RentDigs.com,1568779654
"One BR N. Ashland Ave, 2r",,1.0,1.0,No,Thumbnail,,1075.0,250,Chicago,IL,41.85491202939636,-87.69872637085719,RentLingo,1577015605
Prominence Apartments Two BR Luxury Apartment Homes. Pet OK!,"AC,Clubhouse,Elevator,Gym,Internet Access,Playground,Pool,Washer Dryer",2.0,2.0,No,Thumbnail,"Cats,Dogs",1735.0,1070,Gainesville,VA,38.80858433013403,-77.68386772235976,RentDigs.com,1550821981
"When you 's Walk you'll gain a fresh, new outlook on life.","Clubhouse,Fireplace,Pool",2.0,2.0,No,Yes,,2225.0,1560,Mount Laurel,NJ,39.93372977029716,-74.94650528649275,RentDigs.com,1568775605
"Attractive Three BR, Two BA. Pet OK!",Pool,2.0,3.0,No,Thumbnail,"Cats,Dogs",900.0,1116,Tucson,AZ,32.204443827424974,-110.95246423465728,RentDigs.com,1550843416
Studio Apartment in Quiet Building - Naples,,1.0,0.0,No,Thumbnail,"Cats,Dogs",995.0,420,Naples,FL,26.137499318924128,-81.7682722066483,RentDigs.com,1550856861
"1,085 sq. ft. Apartment, $3,540/mo - must see to believe.",Gym,2.0,2.0,No,Yes,,3540.0,1085,Rockville Centre,NY,40.63760111922846,-73.67219303786982,RentDigs.com,1544240156
"Charming Two BR, One BA. Parking Available!","Fireplace,Gym,Parking,Patio/Deck,Pool,Storage,Washer Dryer",1.0,2.0,No,Yes,,1388.0,876,Longmont,CO,40.194774788119176,-105.17062312304049,RentDigs.com,1568762636
Two BR Apartment in Quiet Building - Hampton City,"Gym,Parking,Patio/Deck,Pool,Storage,Tennis,Washer Dryer",2.0,2.0,No,Yes,,1023.0,1050,Hampton,VA,37.06352838140698,-76.38001109353314,RentDigs.com,1568759977
Apartment in prime location,"Gym,Pool",2.0,2.0,No,Yes,,1795.0,1095,Linthicum Heights,MD,39.246769859861296,-76.70089922914175,RentDigs.com,1568777948
"Lease Spacious 2+2.50. Approx 1,699 sf of Living Space!","Pool,Washer Dryer,Wood Floors",2.5,2.0,No,Yes,,5445.0,1699,Los Angeles,CA,34.05377769345968,-118.4655800474646,RentDigs.com,1568757195
Prices to good to pass up.,,1.0,2.0,No,Yes,,510.0,965,Radcliff,KY,37.804523704100106,-85.95368119977698,RentDigs.com,1550830954
Brandon - must see to believe.,"Clubhouse,Gym,Parking,Playground,Pool,Storage,Tennis",1.0,1.0,No,Yes,,1030.0,769,Brandon,FL,27.885002332756617,-82.2754054372924,RentDigs.com,1544291861
Spacious Living Room That Opens up to a 2nd Story Loft.,"Parking,Patio/Deck",3.0,3.0,No,Thumbnail,,1650.0,1748,Virginia Beach,VA,36.80868257933543,-76.14106808551743,RentDigs.com,1550844076
"Greensboro, Great Location, One BR Apartment.","AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Hot Tub,Patio/Deck,Pool,Refrigerator,Storage,Tennis,Washer Dryer",1.0,1.0,No,Thumbnail,"Cats,Dogs",680.0,690,Greensboro,NC,36.12472527352316,-79.94240353484692,RentDigs.com,1568753503
One BR Leeward Ct,,1.0,1.0,No,Thumbnail,,525.0,200,,,,,RentLingo,1577014825
Lafayette Value. Pet OK!,"Parking,Storage",1.0,1.0,No,Yes,"Cats,Dogs",1050.0,961,Lafayette,LA,30.139032359844894,-92.03243888592117,RentDigs.com,1550853831
One Spacious BR in Glendale,Parking,1.0,1.0,No,Thumbnail,,665.0,554,Glendale,AZ,33.5451667451254,-112.201195950344,RentDigs.com,1550828446
Apartment in prime location,"Gym,Parking,Pool,Storage",1.0,2.0,No,Thumbnail,,1108.0,730,New London,CT,41.38166490590347,-72.07322232071014,RentDigs.com,1568780999
Completely brand new renovations 2018. 3+ Car Garage!,"AC,Dishwasher,Parking,Wood Floors",2.0,3.0,No,Yes,,3000.0,1200,Waltham,MA,42.40573674458189,-71.22394292398391,RentDigs.com,1568762208
"Charming Two BR, Two BA","Clubhouse,Gym,Parking,Patio/Deck,Pool",2.0,2.0,No,No,,1472.0,1018,Aurora,CO,39.74510056131307,-104.7566443281394,RentDigs.com,1550838344
"Studio, One BA, safe neighborhood","Gym,Pool,Storage",1.0,1.0,No,No,,1512.0,870,Arlington,VA,38.868035544528425,-77.09383575118855,RentDigs.com,1550842113
"Two BR, Two BA, safe neighborhood","Dishwasher,Parking,Refrigerator",2.0,2.0,No,Thumbnail,,1370.0,1055,Mansfield,TX,32.59055929179622,-97.12757171467167,RentDigs.com,1568781745
"Great Central Location Two BR, One BA","Gym,Patio/Deck,Pool",1.0,2.0,No,Thumbnail,"Cats,Dogs",940.0,933,Westerville,OH,40.12507559136069,-82.90465483516711,RentDigs.com,1550853038
Apartment in move in condition in Salt Lake City,"AC,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Playground,Pool,Storage,Washer Dryer",1.5,2.0,No,Yes,"Cats,Dogs",1210.0,1002,Salt Lake City,UT,40.68506682532067,-111.88981816923156,RentDigs.com,1544289340
"Lovely Memphis, Two BR, Two BA","Clubhouse,Tennis,Washer Dryer",2.0,2.0,No,Thumbnail,"Cats,Dogs",1220.0,1078,Memphis,TN,35.1500281988618,-90.06017910719206,RentDigs.com,1550812864
One BR 8380 El Mundo,Pool,1.0,1.0,No,Thumbnail,"Cats,Dogs",905.0,660,Houston,TX,29.7386039971841,-95.42853911548973,RentLingo,1577358253
"Ballwin, prime location Two BR, Apartment","Clubhouse,Fireplace,Gym,Pool,Washer Dryer",2.0,2.0,No,Yes,,911.0,980,Ballwin,MO,38.586980088219605,-90.54261316191636,RentDigs.com,1544275984
Live where the life is. Pet OK!,,1.0,3.0,No,No,"Cats,Dogs",1384.0,528,Tampa,FL,27.933789534973396,-82.53361015574471,RentDigs.com,1550821013
Two BR Apartment - Parkside in Ashburn - Gated community withpool.,"Basketball,Fireplace,Gated,Parking,Patio/Deck",2.5,2.0,No,Yes,,2000.0,1485,Ashburn,VA,39.051079657619766,-77.49583017759686,RentDigs.com,1550820473
"Charming One BR, One BA. Pet OK!","Parking,Storage",1.0,1.0,No,No,"Cats,Dogs",2083.0,784,Bayonne,NJ,40.68236035733583,-74.08069331760817,RentDigs.com,1568761786
Cottage Park - Apartment - convenient location. $825/mo,,1.0,1.0,No,Yes,,825.0,819,Norfolk,VA,36.96766883682186,-76.22141548992249,RentDigs.com,1568753483
"Apartment in quiet area, spacious with big kitchen","Gym,Internet Access,Parking,Pool,Refrigerator",2.0,2.0,No,Yes,,910.0,1007,Winston Salem,NC,36.046244635508586,-80.28673387780444,RentDigs.com,1568745540
"Charming Two BR, Two BA","Patio/Deck,Pool",2.0,2.0,No,Thumbnail,"Cats,Dogs",781.0,830,Tyler,TX,32.26379327057379,-95.32592489141724,RentDigs.com,1568770063
"Kent, Three BR, Two BA for rent","Fireplace,Parking,Wood Floors",2.0,3.0,No,Thumbnail,,2023.0,1010,Kent,WA,47.39302222192679,-122.29860743494748,RentDigs.com,1568774612
Floor Plans with Space When You Need It. $969/mo,"Dishwasher,Garbage Disposal,Gym,Patio/Deck,Playground,Pool,Storage,Tennis,Washer Dryer",1.0,2.0,No,Yes,"Cats,Dogs",969.0,800,Portsmouth,VA,36.87467736927856,-76.35878557984533,RentDigs.com,1550855903
One BR in Taylor MI 48180,"Dishwasher,Parking,Refrigerator",1.0,1.0,No,Thumbnail,,1100.0,1567,Taylor,MI,42.24612015089406,-83.2592678460629,Listanza,1577226937
